word,pos
service,nouns
Leads,nouns
grain,nouns
touch,nouns
relief,nouns
white,nouns
Stone,nouns
defense,nouns
figure,nouns
split,nouns
Jackson,nouns
Mans,nouns
number,nouns
Jack,nouns
face,nouns
hand,nouns
voice,nouns
issue,nouns
jack,nouns
case,nouns
return,nouns
bull,nouns
foot,nouns
shot,nouns
draft,nouns
frame,nouns
times,nouns
center,nouns
section,nouns
drive,nouns
corner,nouns
charge,nouns
works,nouns
shaft,nouns
stop,nouns
turn,nouns
house,nouns
step,nouns
man,nouns
plate,nouns
quarter,nouns
movement,nouns
form,nouns
pin,nouns
way,nouns
support,nouns
control,nouns
Spike,nouns
side,nouns
quarters,nouns
bar,nouns
stand,nouns
game,nouns
life,nouns
set,nouns
twist,nouns
Case,nouns
tops,nouns
break,nouns
mark,nouns
balance,nouns
pound,nouns
opening,nouns
stone,nouns
order,nouns
foots,nouns
men,nouns
snaps,nouns
sides,nouns
rule,nouns
top,nouns
whites,nouns
days,nouns
band,nouns
position,nouns
light,nouns
run,nouns
sign,nouns
stock,nouns
defence,nouns
book,nouns
spot,nouns
pass,nouns
score,nouns
body,nouns
end,nouns
grounds,nouns
point,nouns
canvass,nouns
fall,nouns
place,nouns
exchange,nouns
stroke,nouns
cut,nouns
part,nouns
block,nouns
land,nouns
Media,nouns
court,nouns
