word,pos
common_foxglove,nouns
serial_killer,nouns
Central_Park,nouns
ball-buster,nouns
em,nouns
Laminariaceae,nouns
stapling_machine,nouns
ephedrine,nouns
heating_system,nouns
gnosis,nouns
quantum_electrodynamics,nouns
drone,nouns
family_Connaraceae,nouns
Populus_nigra,nouns
bacteriemia,nouns
cork,nouns
Beta_Orionis,nouns
American_elm,nouns
genus_Myrica,nouns
state_of_affairs,nouns
beastliness,nouns
brass_monkey,nouns
Trichomanes_boschianum,nouns
optative_mood,nouns
Cuquenan_Falls,nouns
sexual_practice,nouns
Oneida,nouns
mesmerizer,nouns
cognitive_psychology,nouns
artillery,nouns
Yule_log,nouns
Delphinus_delphis,nouns
Cinclus,nouns
icing_sugar,nouns
Jose_Clemente_Orozco,nouns
dimethyl_ketone,nouns
updating,nouns
Storeria_occipitamaculata,nouns
bimester,nouns
Western_Samoan_monetary_unit,nouns
Alosa_chrysocloris,nouns
skulker,nouns
rhymer,nouns
knickers,nouns
male_berry,nouns
Littorinidae,nouns
seductress,nouns
Nigerian_monetary_unit,nouns
Crab_Nebula,nouns
Lucius_Clay,nouns
fruit_bar,nouns
Niebuhr,nouns
Saint_Elmo's_light,nouns
saddled-shaped_false_morel,nouns
minisub,nouns
Virginia_pine,nouns
track_star,nouns
nudibranch,nouns
keystone,nouns
genus_Trimorphodon,nouns
Shawn,nouns
fusible_metal,nouns
Stenopelmatus,nouns
ditto,nouns
atomic_number_107,nouns
sea_mew,nouns
sulcus,nouns
temporary_removal,nouns
snuffler,nouns
shipping_fever,nouns
salientian,nouns
Tour_de_France,nouns
rockslide,nouns
hi,nouns
Acnidosporidia,nouns
Aristotle,nouns
Eden,nouns
konini,nouns
philatelist,nouns
sleeping_sickness,nouns
hurdy_gurdy,nouns
carbon_dioxide_acidosis,nouns
Viagra,nouns
yelping,nouns
heel_counter,nouns
epigraphy,nouns
cosecant,nouns
snake_wood,nouns
estazolam,nouns
yellow_dock,nouns
paperer,nouns
daybook,nouns
chicle_gum,nouns
Asplenium_nidus,nouns
pogey,nouns
array,nouns
false_miterwort,nouns
imperial_decree,nouns
erythema_nodosum_leprosum,nouns
concealing,nouns
binary_notation,nouns
wildfowl,nouns
Archibald_Percival_Wavell,nouns
operator_gene,nouns
tearing,nouns
wild_rye,nouns
editorship,nouns
widgeon,nouns
spinnability,nouns
strong_suit,nouns
vulgarism,nouns
Ka,nouns
unselfishness,nouns
inflationary_spiral,nouns
Dianthus_plumarius,nouns
grenadine,nouns
Pieter_Brueghel,nouns
Numenius_arquata,nouns
confrontation,nouns
taking_hold,nouns
geomancy,nouns
propping_up,nouns
dole,nouns
Deems_Taylor,nouns
blood_serum,nouns
Kobenhavn,nouns
Agrostis_palustris,nouns
Prunus_tenella,nouns
pager,nouns
safety_net,nouns
Brunn,nouns
chow_mein,nouns
counterwoman,nouns
bathyscaph,nouns
horizontal_parallax,nouns
localism,nouns
bolivar,nouns
declaration_of_estimated_tax,nouns
door_guard,nouns
epha,nouns
genus_Melanoplus,nouns
price_level,nouns
pre-eclampsia,nouns
clitoris,nouns
parquet_circle,nouns
Igor_Fyodorovich_Stravinsky,nouns
family_Marsileaceae,nouns
crazyweed,nouns
trunk_hose,nouns
margin_of_error,nouns
Katsuwonidae,nouns
cairn,nouns
Murmansk,nouns
cloth,nouns
donjon,nouns
sea_pen,nouns
Cypraea_tigris,nouns
duds,nouns
acarine,nouns
Margaret_Munnerlyn_Mitchell,nouns
time_exposure,nouns
Sunnite,nouns
chromate,nouns
English_saddle,nouns
Reseda_luteola,nouns
Lepas_fascicularis,nouns
sawhorse,nouns
quarter-century,nouns
genus_Sus,nouns
coldness,nouns
Louis_Victor_de_Broglie,nouns
digital_computer,nouns
moderationist,nouns
Apostle_Paul,nouns
osteostracan,nouns
elastic_tissue,nouns
Trigla_lucerna,nouns
wonderment,nouns
Francoise_d'Aubigne,nouns
guise,nouns
family_Asparagaceae,nouns
dermatosis,nouns
community_chest,nouns
clinical_psychologist,nouns
millwheel,nouns
autotomy,nouns
piperazine,nouns
pickle_relish,nouns
lyric,nouns
hydrogel,nouns
Hus,nouns
Mysis,nouns
geologic_time,nouns
transposition,nouns
Bursera_microphylla,nouns
surtout,nouns
zone,nouns
Charles_Wesley,nouns
mil,nouns
caftan,nouns
genus_Rhyncostylis,nouns
webmaster,nouns
phrontistery,nouns
ABM,nouns
pipe_major,nouns
cognitive_factor,nouns
birdnesting,nouns
futon,nouns
barrister,nouns
New_Caledonian_yew,nouns
Kriss_Kringle,nouns
Lake_Canandaigua,nouns
Pan,nouns
knowledgeableness,nouns
heavy,nouns
intuitionism,nouns
figwort_family,nouns
genus_Chrysophyllum,nouns
nasogastric_feeding,nouns
propinquity,nouns
arteria_laryngea,nouns
NGB,nouns
Menyanthaceae,nouns
skylark,nouns
counterpoison,nouns
fender,nouns
eggbeater,nouns
tenantry,nouns
Mary,nouns
crematory,nouns
Harriet_Wilson,nouns
two-note_call,nouns
Alnus_veridis,nouns
self-flagellation,nouns
Hyalosperma,nouns
out_of_bounds,nouns
anthroposophy,nouns
talipes_valgus,nouns
minority,nouns
andrena,nouns
genus_Tethus,nouns
keratoscopy,nouns
devil's_food,nouns
spider_mite,nouns
homosexuality,nouns
language_teaching,nouns
rood-tree,nouns
gene,nouns
phoenix_tree,nouns
bunt,nouns
Belgian_hare,nouns
Sarcorhamphus,nouns
ophthalmectomy,nouns
Vasotec,nouns
spider_plant,nouns
genus_Punica,nouns
Geglossaceae,nouns
Dolichos_lignosus,nouns
mimesis,nouns
consul,nouns
curtailment,nouns
golden_aster,nouns
river_red_gum,nouns
Enbrel,nouns
growth_stock,nouns
scripture,nouns
